ACT Symbol,Security Name,Exchange
AHT$G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,N
AHT$H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,N
AI,Arlington Asset Investment Corp Class A (new),N
AI$B,Arlington Asset Investment Corp 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock,N
AIB,Apollo Investment Corporation 6.625% Senior Notes due 2042,N
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,N
AIF,Apollo Tactical Income Fund Inc. Common Stock,N
AIG,"American International Group, Inc. New Common Stock",N
AIG.W,"American International Group, Inc. Warrant expiring January 19, 2021",N
AIN,Albany International Corporation Common Stock,N
AIR,AAR Corp. Common Stock,N
AIT,"Applied Industrial Technologies, Inc. Common Stock",N
AIV,Apartment Investment and Management Company Common Stock,N
AIV$A,Apartment Investment and Management Company Preferred Series Class A,N
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023,N
AIY,Apollo Investment Corporation 6.875% Senior Notes due 2043,N
AIZ,"Assurant, Inc. Common Stock",N
AJG,Arthur J. Gallagher & Co. Common Stock,N
AJRD,"Aerojet Rocketdyne Holdings, Inc. Common Stock",N
AJX,Great Ajax Corp. Common Stock,N
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,N
AKO.A,Embotelladora Andina S.A. Common Stock,N
AKO.B,Embotelladora Andina S.A. Common Stock,N
AKP,Alliance California Municipal Income Fund Inc,N
AKR,Acadia Realty Trust Common Stock,N
AKS,AK Steel Holding Corporation Common Stock,N
AL,Air Lease Corporation Class A Common Stock,N
ALB,Albemarle Corporation Common Stock,N
ALDW,"Alon USA Partners, LP Common Units representing Limited Partner Interests",N
ALE,"Allete, Inc.",N
ALEX,"Alexander & Baldwin, Inc. Common Stock",N
ALG,"Alamo Group, Inc. Common Stock",N
ALK,"Alaska Air Group, Inc. Common Stock",N
ALL,Allstate Corporation (The) Common Stock,N
ALL$A,Allstate Corporation (The) Dep Shs Repstg 1/1000th Perp Pfd Ser A,N
ALL$B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,N
ALL$C,Allstate Corporation (The) Dep Shs Repstg 1/1000th Int Shs Pfd Stk Ser C,N
ALL$D,The Allstate Corporation Leopards Each Representing A 1/1000th Interest In A Share Of Fixed Rate Noncumulative Perpetual Preferred Stock Series D,N
ALL$E,Allstate Corporation Depositary Shares Representing 1/1000th Perpetual Preferred Series E,N
ALL$F,Allstate Corporation (The) Leopards Dep Shares Representing 1/1000th Perp Pfd,N
ALLE,Allegion plc Ordinary Shares,N
ALLY,Ally Financial Inc. Common Stock,N
ALLY$A,"GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities, Series 2",N
ALP$O,Alabama Power Company Preferred Stock,N
ALP$Q,"Alabama Power Company 5.00% Class A Preferred Stock, Cumulative, Par Value $1 Per Share (Stated Capital $25 Per Share)",N
ALR,Alere Inc. Common Stock,N
ALR$B,"Alere Inc. Inverness Medical Innovations, Inc. Series B Convertible Perpetual Preferred Stock",N
ALSN,"Allison Transmission Holdings, Inc. Common Stock",N
ALV,"Autoliv, Inc. Common Stock",N
ALX,"Alexander's, Inc. Common Stock",N
AM,Antero Midstream Partners LP Common Units representing limited partner interests,N
AMBR,"Amber Road, Inc. Common Stock",N
AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock",N
AME,"AMETEK, Inc.",N
AMFW,AMEC Foster Wheeler plc American Depositary Shares,N
AMG,"Affiliated Managers Group, Inc. Common Stock",N
AMGP,Antero Midstream GP LP Common Shares of Beneficial Interests,N
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,N
AMH$A,American Homes 4 Rent Participating Preferred Shares Series A,N
AMH$B,American Homes 4 Rent 5% Series B Participating Preferred Shares of Beneficial Interest,N
AMH$C,American Homes 4 Rent Participating Pfd Ser C,N
AMH$D,American Homes 4 Rent 6.5% Series D Cumulative Perpetual Preferred Shares of Beneficial Interest,N
AMH$E,American Homes 4 Rent 6.35% Series E Cumulative Redeemable Perpetual Preferred Shares of Beneficial Interest,N
AMH$F,American Homes 4 Rent 5.875% Series F Cumulative Redeemable Perpetual Preferred Shares,N
AMH$G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,N
AMID,"American Midstream Partners, LP Common Units representing Limited Partner Interests",N
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,N
AMOV,"America Movil, S.A.B. de C.V. Class A American Depositary Shares",N
AMP,"Ameriprise Financial, Inc. Common Stock",N
AMRC,"Ameresco, Inc. Class A Common Stock",N
AMT,American Tower Corporation (REIT) Common Stock,N
AMT$B,"American Tower Corporation (REIT) Depositary Shares, each representing a 1/10th ownership interest in a share of 5.50% Mandatory Convertible Preferred Stock, Series B",N
AMX,"America Movil, S.A.B. de C.V. American Depository Receipt Series L",N
AN,"AutoNation, Inc. Common Stock",N
ANDV,Andeavor Common Stock,N
ANDX,Andeavor Logistics LP Common Units representing Limited Partner Interests,N
ANET,"Arista Networks, Inc. Common Stock",N
ANF,Abercrombie & Fitch Company Common Stock,N
ANFI,Amira Nature Foods Ltd Ordinary Shares,N
ANH,Anworth Mortgage Asset Corporation Common Stock,N
ANH$A,Anworth Mortgage Asset Corporation Series A Preferred Stock,N
ANH$B,Anworth Mortgage Asset  Corporation Preferred Stock Series B 6.25%,N
ANH$C,Anworth Mortgage Asset  Corporation 7.625% Series C Cumulative Redeemable  Preferred Stock,N
ANTM,"Anthem, Inc. Common Stock",N
ANTX,"Anthem, Inc. Corporate Units",N
ANW,Aegean Marine Petroleum Network Inc. Common Stock,N
AOD,Alpine Total Dynamic Dividend Fund Common Stock,N
AOI,"Alliance One International, Inc. Common Stock",N
AON,Aon plc Class A Ordinary Shares (UK),N
AOS,A.O. Smith Corporation Common Stock,N
AP,Ampco-Pittsburgh Corporation Common Stock,N
APA,Apache Corporation Common Stock,N
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,N
APB,"Asia Pacific Fund, Inc. (The)",N
APC,Anadarko Petroleum Corporation Common Stock,N
APD,"Air Products and Chemicals, Inc. Common Stock",N
APF,"Morgan Stanley Asia-Pacific Fund, Inc.",N
APH,Amphenol Corporation Common Stock,N
APLE,"Apple Hospitality REIT, Inc. Common Shares",N
APO,"Apollo Global Management, LLC Class A Common Shares Representing Class A Limitied Liability Company Interests",N
APO$A,"Apollo Global Management, LLC 6.375% Series A Preferred Shares",N
APRN,"Blue Apron Holdings, Inc. Class A Common Stock",N
APTS,"Preferred Apartment Communities, Inc. Common Stock",N
APU,"AmeriGas Partners, L.P. Common Stock",N
AQN,Algonquin Power & Utilities Corp. Common Shares,N
AR,Antero Resources Corporation Common Stock,N
ARA,"American Renal Associates Holdings, Inc Common Stock",N
ARC,"ARC Document Solutions, Inc. Common Stock",N
ARCH,"Arch Coal, Inc. Class A Common Stock",N
ARCO,Arcos Dorados Holdings Inc. Class A Shares,N
ARCX,Arc Logistic Partners LP Common Units representing limited partner interest,N
ARD,Ardagh Group S.A. Common Shares,N
ARDC,"Ares Dynamic Credit Allocation Fund, Inc. Common Shares",N
ARE,"Alexandria Real Estate Equities, Inc. Common Stock",N
ARE$D,"Alexandria Real Estate Equities, Inc. 7.00% Series D Cumulative Convertible Preferred Stock",N
ARES,Ares Management L.P. Common Units representing Limited Partner Interests,N
ARES$A,Ares Management L.P. 7.00% Series A Preferred Units Representing Limited Partner Interests,N
ARH$C,Arch Capital Group Ltd. 6.75% PFD sh S C,N
ARI,"Apollo Commercial Real Estate Finance, Inc",N
ARI$C,Apollo Commercial Real Estate Finance 8.00% Series C Cumulative Redeemable Perpetual Preferred Stock,N
ARL,"American Realty Investors, Inc. Common Stock",N
ARMK,Aramark Common Stock,N
ARNC,Arconic Inc. Common Stock,N
ARNC$B,Arconic Inc. Depository Shares Representing 1/10th Preferred Convertilble Class B Series 1,N
